Representative,Trimmed_Mean,ReportDate,TransactionDate,Ticker,Transaction,Amount,Party,House,Range,Sentiment,Price,Low_End,High_End,Adjusted_Low_End,Adjusted_High_End,Running_Portfolio_Low_End,Running_Portfolio_High_End,Est_Portfolio_Value,Shares_High_End,Shares_Low_End,Normalized_Amount
Alan S. Lowenthal,745.5811378848728,2019-11-25,2019-11-04,ECL,Purchase,1001.0,D,Representatives,1001-15000,,182.2607117,1001.0,15000.0,-1001.0,-15000.0,115495.3,720000.0,417747.65,-82.29968960447113,-5.49213261960504,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-11-08,2019-10-31,SRE,Sale,1001.0,D,Representatives,1001-15000,,56.54772568,1001.0,15000.0,1001.0,15000.0,132498.3,800000.0,466249.15,265.26265768643026,17.701861356274446,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-11-08,2019-10-31,AMZN,Purchase,1001.0,D,Representatives,1001-15000,,88.83300018,1001.0,15000.0,-1001.0,-15000.0,131497.3,785000.0,458248.65,-168.8561679736797,-11.268334942776892,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-11-25,2019-11-04,ECL,Purchase,1001.0,D,Representatives,1001-15000,,182.2607117,1001.0,15000.0,-1001.0,-15000.0,114494.3,705000.0,409747.15,-82.29968960447113,-5.49213261960504,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-11-25,2019-11-04,BA,Purchase,1001.0,D,Representatives,1001-15000,,346.9884949,1001.0,15000.0,-1001.0,-15000.0,112219.95,690000.0,401109.975,-43.229099006071976,-2.88482187367187,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-10-29,2022-10-21,BSX,Sale,1001.0,D,Representatives,1001-15000,,40.56999969,1001.0,15000.0,1001.0,15000.0,245229.09,1560000.0,902614.545,369.73133139306657,24.673404181630644,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-04,2020-10-28,MDT,Purchase,1001.0,D,Representatives,1001-15000,,95.35968018,1001.0,15000.0,-1001.0,-15000.0,162407.53,1100000.0,631203.765,-157.2991852708204,-10.497098963739417,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-01-30,2022-01-21,HD,Sale,1001.0,D,Representatives,1001-15000,0.0964999999999999,333.5379639,1001.0,15000.0,1001.0,15000.0,202228.09,1440000.0,821114.045,44.97239182193137,3.00115761425022,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-03-22,2022-03-07,CCK,Purchase,1001.0,D,Representatives,1001-15000,,120.5092239,1001.0,15000.0,-1001.0,-15000.0,217229.09,1490000.0,853614.545,-124.47179987191006,-8.306418111452132,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-04-12,2022-04-06,TJX,Sale,1001.0,D,Representatives,1001-15000,,58.98154831,1001.0,15000.0,1001.0,15000.0,254238.09,1695000.0,974619.045,254.3168233082283,16.971409342102433,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,ADBE,Sale,1001.0,D,Representatives,1001-15000,0.2450714285714286,630.3300171,1001.0,15000.0,1001.0,15000.0,190230.09,1435000.0,812615.045,23.79705803796473,1.5880570064001798,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-04-12,2022-04-06,IFF,Sale,1001.0,D,Representatives,1001-15000,,120.205719,1001.0,15000.0,1001.0,15000.0,255239.09,1710000.0,982619.545,124.7860761100726,8.327390812412178,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-01-30,2022-01-21,HD,Sale,1001.0,D,Representatives,1001-15000,0.0964999999999999,333.5379639,1001.0,15000.0,1001.0,15000.0,201227.09,1425000.0,813113.545,44.97239182193137,3.00115761425022,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-01-27,2022-01-14,PSQ,Purchase,1001.0,D,Representatives,1001-15000,,11.03735065,1001.0,15000.0,-1001.0,-15000.0,200226.09,1410000.0,805113.045,-1359.0217866277535,-90.6920538942921,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-01-27,2022-01-14,GOOG,Sale,1001.0,D,Representatives,1001-15000,-0.0750499999999999,139.786499,1001.0,15000.0,1001.0,15000.0,201227.09,1425000.0,813113.545,107.3065003223237,7.160920454843068,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,IWN,Sale,1001.0,D,Representatives,1001-15000,,156.6395111,1001.0,15000.0,1001.0,15000.0,174228.09,1370000.0,772114.045,95.76127947963188,6.390469383940768,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,ADBE,Sale,1001.0,D,Representatives,1001-15000,0.2450714285714286,630.3300171,1001.0,15000.0,1001.0,15000.0,171225.09,1325000.0,748112.545,23.79705803796473,1.5880570064001798,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,BKNG,Sale,1001.0,D,Representatives,1001-15000,,2130.379883,1001.0,15000.0,1001.0,15000.0,172226.09,1340000.0,756113.045,7.04099776743902,0.4698692510137639,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,BKNG,Sale,1001.0,D,Representatives,1001-15000,,2130.379883,1001.0,15000.0,1001.0,15000.0,173227.09,1355000.0,764113.545,7.04099776743902,0.4698692510137639,1.3425768828322575
